
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
1220,0x000E,1,FALSE,60.74617,0.24399,0.18930,3.99890,NAN,NAN,10.10000
1230,0x000E,1,FALSE,61.24447,0.24599,0.18930,3.99860,NAN,NAN,10.10000
1240,0x000E,1,FALSE,61.74294,0.24798,0.18930,3.99840,NAN,NAN,10.00000
1250,0x000E,1,FALSE,62.29133,0.25017,0.18930,3.99810,NAN,NAN,10.00000
1260,0x000E,1,FALSE,62.78992,0.25216,0.18930,3.99780,NAN,NAN,9.90000
1270,0x000E,1,FALSE,63.28836,0.25416,0.18930,3.99750,NAN,NAN,9.90000
1280,0x000E,1,FALSE,63.78691,0.25615,0.18930,3.99720,NAN,NAN,9.90000
1290,0x000E,1,FALSE,64.23547,0.25794,0.18930,3.99700,NAN,NAN,9.90000
1300,0x000E,1,FALSE,64.73389,0.25993,0.18930,3.99670,NAN,NAN,9.90000
1310,0x000E,1,FALSE,65.23234,0.26193,0.18930,3.99640,NAN,NAN,9.90000
1320,0x000E,1,FALSE,65.73058,0.26392,0.18930,3.99620,NAN,NAN,9.90000
1330,0x000E,1,FALSE,66.22886,0.26591,0.18930,3.99590,NAN,NAN,10.00000
1340,0x000E,1,FALSE,66.77714,0.26810,0.18930,3.99560,NAN,NAN,10.00000
1350,0x000E,1,FALSE,67.27555,0.27009,0.18930,3.99540,NAN,NAN,10.10000
1360,0x000E,1,FALSE,67.77392,0.27208,0.18930,3.99510,NAN,NAN,10.10000
1370,0x000E,1,FALSE,68.27211,0.27407,0.18930,3.99480,NAN,NAN,10.20000
1380,0x000E,1,FALSE,68.72041,0.27586,0.18930,3.99460,NAN,NAN,10.20000
1390,0x000E,1,FALSE,69.21858,0.27785,0.18930,3.99440,NAN,NAN,10.30000
1400,0x000E,1,FALSE,69.71678,0.27984,0.18930,3.99420,NAN,NAN,10.30000
1410,0x000E,1,FALSE,70.21486,0.28183,0.18930,3.99390,NAN,NAN,10.40000
1420,0x000E,1,FALSE,70.71308,0.28382,0.18930,3.99370,NAN,NAN,10.40000
1430,0x000E,1,FALSE,71.26133,0.28601,0.18930,3.99350,NAN,NAN,10.40000
1440,0x000E,1,FALSE,71.75977,0.28800,0.18930,3.99330,NAN,NAN,10.50000
1450,0x000E,1,FALSE,72.25791,0.28999,0.18930,3.99300,NAN,NAN,10.50000
